,ElasticNet,GBM,RF,SVM
0,-0.5724595204184671,-0.4974681223307982,-0.41800013865957486,-0.6259181451236309
1,-0.6155024805240006,-0.6083129696925696,-0.5301240502315341,-0.5167945305636167
2,-0.6248320131310466,-0.526796663171516,-0.6089004079078404,-0.6549454106156134
3,-0.7573116369973689,-0.6874474382677042,-0.6375116023671941,-0.877343259348676
4,-0.5043002339477128,-0.5778605113746575,-0.42011645192889474,-0.5974907518462238
5,-0.5486523551215766,-0.5686760962972952,-0.4634201812144297,-0.5147599455740781
6,-0.6311637897085183,-0.5147317114539177,-0.49570956551827405,-0.6246142274960083
7,-0.5042683435793789,-0.5774173240985393,-0.40729403290457694,-0.5111469640478508
8,-0.6610533306673428,-0.4960060348894727,-0.4728446640617584,-0.6362345515387637
9,-0.49212940859471815,-0.555439906468214,-0.5171835789453615,-0.5561293311590181
